prefix,bits,organization,registry
000083,24,TADPOLE TECHNOLOGY PLC,MA-L
000084,24,SUPERNET,MA-L
000085,24,CANON INC.,MA-L
000086,24,MEGAHERTZ CORPORATION,MA-L
000087,24,"HITACHI, LTD.",MA-L
000088,24,Brocade Communications Systems LLC,MA-L
000089,24,CAYMAN SYSTEMS INC.,MA-L
00008A,24,DATAHOUSE INFORMATION SYSTEMS,MA-L
00008B,24,INFOTRON,MA-L
00008C,24,Alloy Computer Products (Australia) Pty Ltd,MA-L
00008D,24,Cryptek Inc.,MA-L
00008E,24,"SOLBOURNE COMPUTER, INC.",MA-L
00008F,24,Raytheon,MA-L
000090,24,MICROCOM,MA-L
000091,24,ANRITSU CORPORATION,MA-L
000092,24,COGENT DATA TECHNOLOGIES,MA-L
000093,24,PROTEON INC.,MA-L
000094,24,ASANTE TECHNOLOGIES,MA-L
000095,24,SONY TEKTRONIX CORP.,MA-L
000096,24,MARCONI ELECTRONICS LTD.,MA-L
000097,24,Dell EMC,MA-L
000098,24,CROSSCOMM CORPORATION,MA-L
000099,24,"MTX, INC.",MA-L
00009A,24,RC COMPUTER A/S,MA-L
00009B,24,"INFORMATION INTERNATIONAL, INC",MA-L
00009C,24,ROLM MIL-SPEC COMPUTERS,MA-L
00009D,24,LOCUS COMPUTING CORPORATION,MA-L
00009E,24,MARLI S.A.,MA-L
00009F,24,AMERISTAR TECHNOLOGIES INC.,MA-L
0000A0,24,"SANYO Electric Co., Ltd.",MA-L
0000A1,24,MARQUETTE ELECTRIC CO.,MA-L
0000A2,24,Bay Networks,MA-L
0000A3,24,NETWORK APPLICATION TECHNOLOGY,MA-L
0000A4,24,ACORN COMPUTERS LIMITED,MA-L
0000A5,24,Tattile SRL,MA-L
0000A6,24,NETWORK GENERAL CORPORATION,MA-L
0000A7,24,NETWORK COMPUTING DEVICES INC.,MA-L
0000A8,24,Stratus Technologies,MA-L
0000A9,24,NETWORK SYSTEMS CORP.,MA-L
0000AA,24,XEROX CORPORATION,MA-L
0000AB,24,LOGIC MODELING CORPORATION,MA-L
0000AC,24,CONWARE COMPUTER CONSULTING,MA-L
0000AD,24,BRUKER INSTRUMENTS INC.,MA-L
0000AE,24,DASSAULT ELECTRONIQUE,MA-L
0000AF,24,"Canberra Industries, Inc.",MA-L
0000B0,24,RND-RAD NETWORK DEVICES,MA-L
0000B1,24,Alpha Micro,MA-L
0000B2,24,"TELEVIDEO SYSTEMS, INC.",MA-L
0000B3,24,CIMLINC INCORPORATED,MA-L
0000B4,24,Edimax Technology Co. Ltd.,MA-L
0000B5,24,DATABILITY SOFTWARE SYS. INC.,MA-L
0000B6,24,MICRO-MATIC RESEARCH,MA-L
0000B7,24,DOVE COMPUTER CORPORATION,MA-L
0000B8,24,"SEIKOSHA CO., LTD.",MA-L
0000B9,24,MCDONNELL DOUGLAS COMPUTER SYS,MA-L
0000BA,24,"SIIG, INC.",MA-L
0000BB,24,TRI-DATA,MA-L
0000BC,24,Rockwell Automation,MA-L
0000BD,24,"RYOSEI, Ltd.",MA-L
0000BE,24,THE NTI GROUP,MA-L
0000BF,24,SYMMETRIC COMPUTER SYSTEMS,MA-L
0000C0,24,WESTERN DIGITAL CORPORATION,MA-L
0000C1,24,Madge Ltd.,MA-L
0000C2,24,INFORMATION PRESENTATION TECH.,MA-L
0000C3,24,Harris Corporation,MA-L
0000C4,24,WATERS DIV. OF MILLIPORE,MA-L
0000C5,24,Commscope,MA-L
0000C6,24,EON SYSTEMS,MA-L
0000C7,24,ARIX CORPORATION,MA-L
0000C8,24,ALTOS COMPUTER SYSTEMS,MA-L
0000C9,24,Emulex Corporation,MA-L
0000CA,24,Commscope,MA-L
