prefix,bits,organization,registry
00D0A8,24,"NETWORK ENGINES, INC.",MA-L
00D0A9,24,"SHINANO KENSHI CO., LTD.",MA-L
00D0AA,24,CHASE COMMUNICATIONS,MA-L
00D0AB,24,DELTAKABEL TELECOM CV,MA-L
00D0AC,24,"Commscope, Inc",MA-L
00D0AD,24,TL INDUSTRIES,MA-L
00D0AE,24,"ORESIS COMMUNICATIONS, INC.",MA-L
00D0AF,24,"CUTLER-HAMMER, INC.",MA-L
00D0B0,24,BITSWITCH LTD.,MA-L
00D0B1,24,OMEGA ELECTRONICS SA,MA-L
00D0B2,24,Xiotech Corporation,MA-L
00D0B3,24,DRS Technologies Canada Ltd,MA-L
00D0B4,24,"KATSUJIMA CO., LTD.",MA-L
00D0B5,24,IPricot formerly DotCom,MA-L
00D0B6,24,"CRESCENT NETWORKS, INC.",MA-L
00D0B7,24,Intel Corporation,MA-L
00D0B8,24,Iomega Corporation,MA-L
00D0B9,24,"MICROTEK INTERNATIONAL, INC.",MA-L
00D0BA,24,"Cisco Systems, Inc",MA-L
00D0BB,24,"Cisco Systems, Inc",MA-L
00D0BC,24,"Cisco Systems, Inc",MA-L
00D0BD,24,Lattice Semiconductor Corp. (LPA),MA-L
00D0BE,24,EMUTEC INC.,MA-L
00D0BF,24,PIVOTAL TECHNOLOGIES,MA-L
00D0C0,24,"Cisco Systems, Inc",MA-L
00D0C1,24,"HARMONIC DATA SYSTEMS, LTD.",MA-L
00D0C2,24,BALTHAZAR TECHNOLOGY AB,MA-L
00D0C3,24,"VIVID TECHNOLOGY PTE, LTD.",MA-L
00D0C4,24,TERATECH CORPORATION,MA-L
00D0C5,24,"COMPUTATIONAL SYSTEMS, INC.",MA-L
00D0C6,24,THOMAS & BETTS CORP.,MA-L
00D0C7,24,"PATHWAY, INC.",MA-L
00D0C8,24,Prevas A/S,MA-L
00D0C9,24,"ADVANTECH CO., LTD.",MA-L
00D0CA,24,Intrinsyc Software International Inc.,MA-L
00D0CB,24,"DASAN CO., LTD.",MA-L
00D0CC,24,TECHNOLOGIES LYRE INC.,MA-L
00D0CD,24,ATAN TECHNOLOGY INC.,MA-L
00D0CE,24,TASKING Labs,MA-L
00D0CF,24,MORETON BAY,MA-L
00D0D0,24,ZHONGXING TELECOM LTD.,MA-L
00D0D1,24,Sycamore Networks,MA-L
00D0D2,24,EPILOG CORPORATION,MA-L
00D0D3,24,"Cisco Systems, Inc",MA-L
00D0D4,24,"V-BITS, INC.",MA-L
00D0D5,24,GRUNDIG AG,MA-L
00D0D6,24,AETHRA TELECOMUNICAZIONI,MA-L
00D0D7,24,"B2C2, INC.",MA-L
00D0D8,24,3COM,MA-L
00D0D9,24,DEDICATED MICROCOMPUTERS,MA-L
00D0DA,24,"TAICOM DATA SYSTEMS CO., LTD.",MA-L
00D0DB,24,MCQUAY INTERNATIONAL,MA-L
00D0DC,24,"MODULAR MINING SYSTEMS, INC.",MA-L
00D0DD,24,"SUNRISE TELECOM, INC.",MA-L
00D0DE,24,PHILIPS MULTIMEDIA NETWORK,MA-L
00D0DF,24,"KUZUMI ELECTRONICS, INC.",MA-L
00D0E0,24,DOOIN ELECTRONICS CO.,MA-L
00D0E1,24,AVIONITEK ISRAEL INC.,MA-L
00D0E2,24,"MRT MICRO, INC.",MA-L
00D0E3,24,"ELE-CHEM ENGINEERING CO., LTD.",MA-L
00D0E4,24,"Cisco Systems, Inc",MA-L
00D0E5,24,SOLIDUM SYSTEMS CORP.,MA-L
00D0E6,24,IBOND INC.,MA-L
00D0E7,24,VCON TELECOMMUNICATION LTD.,MA-L
00D0E8,24,"MAC SYSTEM CO., LTD.",MA-L
00D0E9,24,Advantage Century Telecommunication Corp.,MA-L
00D0EA,24,"NEXTONE COMMUNICATIONS, INC.",MA-L
00D0EB,24,"LIGHTERA NETWORKS, INC.",MA-L
00D0EC,24,NAKAYO Inc,MA-L
00D0ED,24,XIOX,MA-L
00D0EE,24,DICTAPHONE CORPORATION,MA-L
00D0EF,24,IGT,MA-L
00D0F0,24,CONVISION TECHNOLOGY GMBH,MA-L
00D0F1,24,"SEGA ENTERPRISES, LTD.",MA-L
00D0F2,24,MONTEREY NETWORKS,MA-L
00D0F3,24,SOLARI DI UDINE SPA,MA-L
00D0F4,24,CARINTHIAN TECH INSTITUTE,MA-L
00D0F5,24,"ORANGE MICRO, INC.",MA-L
00D0F6,24,Nokia,MA-L
00D0F7,24,NEXT NETS CORPORATION,MA-L
00D0F8,24,FUJIAN STAR TERMINAL,MA-L
00D0F9,24,ACUTE COMMUNICATIONS CORP.,MA-L
00D0FA,24,Thales e-Security Ltd.,MA-L
00D0FB,24,"TEK MICROSYSTEMS, INCORPORATED",MA-L
00D0FC,24,GRANITE MICROSYSTEMS,MA-L
00D0FD,24,"OPTIMA TELE.COM, INC.",MA-L
00D0FE,24,ASTRAL POINT,MA-L
00D0FF,24,"Cisco Systems, Inc",MA-L
00D11C,24,ACETEL,MA-L
00D279,24,VINGROUP JOINT STOCK COMPANY,MA-L
00D2B1,24,"TPV Display Technology (Xiamen) Co.,Ltd.",MA-L
00D318,24,SPG Controls,MA-L
00D38D,24,Hotel Technology Next Generation,MA-L
00D49E,24,Intel Corporate,MA-L
00D598,24,"BOPEL MOBILE TECHNOLOGY CO.,LIMITED",MA-L
00D626,24,"Mist Systems, Inc.",MA-L
00D632,24,GE Energy,MA-L
00D6CB,24,"Quectel Wireless Solutions Co.,Ltd.",MA-L
00D6FE,24,"Cisco Systems, Inc",MA-L
00D76D,24,Intel Corporate,MA-L
00D78F,24,"Cisco Systems, Inc",MA-L
00D861,24,"Micro-Star INTL CO., LTD.",MA-L
00D8A2,24,"Huawei Device Co., Ltd.",MA-L
00D9D1,24,Sony Interactive Entertainment Inc.,MA-L
00DA27,24,Palo Alto Networks,MA-L
00DA55,24,"Cisco Systems, Inc",MA-L
00DB1E,24,Albedo Telecom SL,MA-L
00DB45,24,"THAMWAY CO.,LTD.",MA-L
00DB70,24,"Apple, Inc.",MA-L
00DBDF,24,Intel Corporate,MA-L
00DCB2,24,"Extreme Networks, Inc.",MA-L
00DD00,24,UNGERMANN-BASS INC.,MA-L
00DD01,24,UNGERMANN-BASS INC.,MA-L
00DD02,24,UNGERMANN-BASS INC.,MA-L
00DD03,24,UNGERMANN-BASS INC.,MA-L
00DD04,24,UNGERMANN-BASS INC.,MA-L
00DD05,24,UNGERMANN-BASS INC.,MA-L
00DD06,24,UNGERMANN-BASS INC.,MA-L
00DD07,24,UNGERMANN-BASS INC.,MA-L
00DD08,24,UNGERMANN-BASS INC.,MA-L
00DD09,24,UNGERMANN-BASS INC.,MA-L
00DD0A,24,UNGERMANN-BASS INC.,MA-L
00DD0B,24,UNGERMANN-BASS INC.,MA-L
00DD0C,24,UNGERMANN-BASS INC.,MA-L
00DD0D,24,UNGERMANN-BASS INC.,MA-L
00DD0E,24,UNGERMANN-BASS INC.,MA-L
00DD0F,24,UNGERMANN-BASS INC.,MA-L
00DD25,24,"Shenzhen hechengdong Technology Co., Ltd",MA-L
00DDB6,24,"New H3C Technologies Co., Ltd",MA-L
00DEFB,24,"Cisco Systems, Inc",MA-L
00DF1D,24,"Cisco Systems, Inc",MA-L
00E000,24,FUJITSU LIMITED,MA-L
00E001,24,STRAND LIGHTING LIMITED,MA-L
00E002,24,"CROSSROADS SYSTEMS, INC.",MA-L
00E003,24,NOKIA WIRELESS BUSINESS COMMUN,MA-L
00E004,24,"PMC-SIERRA, INC.",MA-L
00E005,24,TECHNICAL CORP.,MA-L
00E006,24,SILICON INTEGRATED SYS. CORP.,MA-L
00E007,24,Avaya ECS Ltd,MA-L
00E008,24,AMAZING CONTROLS! INC.,MA-L
00E009,24,Stratus Technologies,MA-L
00E00A,24,"DIBA, INC.",MA-L
00E00B,24,ROOFTOP COMMUNICATIONS CORP.,MA-L
00E00C,24,MOTOROLA,MA-L
00E00D,24,RADIANT SYSTEMS,MA-L
00E00E,24,"AVALON IMAGING SYSTEMS, INC.",MA-L
00E00F,24,"Shanghai Baud Data Communication Co.,Ltd.",MA-L
00E010,24,HESS SB-AUTOMATENBAU GmbH,MA-L
00E011,24,UNIDEN CORPORATION,MA-L
00E012,24,PLUTO TECHNOLOGIES INTERNATIONAL INC.,MA-L
00E013,24,"EASTERN ELECTRONIC CO., LTD.",MA-L
00E014,24,"Cisco Systems, Inc",MA-L
00E015,24,HEIWA CORPORATION,MA-L
00E016,24,RAPID CITY COMMUNICATIONS,MA-L
00E017,24,EXXACT GmbH,MA-L
00E018,24,ASUSTek COMPUTER INC.,MA-L
00E019,24,ING. GIORDANO ELETTRONICA,MA-L
00E01A,24,"COMTEC SYSTEMS. CO., LTD.",MA-L
00E01B,24,"SPHERE COMMUNICATIONS, INC.",MA-L
00E01C,24,"CradlePoint, Inc",MA-L
00E01D,24,"WebTV NETWORKS, INC.",MA-L
00E01E,24,"Cisco Systems, Inc",MA-L
00E01F,24,"AVIDIA Systems, Inc.",MA-L
00E020,24,TECNOMEN OY,MA-L
00E021,24,FREEGATE CORP.,MA-L
00E022,24,"Analog Devices, Inc.",MA-L
00E023,24,TELRAD,MA-L
00E024,24,GADZOOX NETWORKS,MA-L
00E025,24,"dit Co., Ltd.",MA-L
00E026,24,Redlake MASD LLC,MA-L
00E027,24,"DUX, INC.",MA-L
00E028,24,APTIX CORPORATION,MA-L
00E029,24,STANDARD MICROSYSTEMS CORP.,MA-L
00E02A,24,TANDBERG TELEVISION AS,MA-L
00E02B,24,"Extreme Networks, Inc.",MA-L
00E02C,24,AST COMPUTER,MA-L
00E02D,24,"InnoMediaLogic, Inc.",MA-L
00E02E,24,SPC ELECTRONICS CORPORATION,MA-L
00E02F,24,"MCNS HOLDINGS, L.P.",MA-L
00E030,24,MELITA INTERNATIONAL CORP.,MA-L
00E031,24,"HAGIWARA ELECTRIC CO., LTD.",MA-L
00E032,24,"MISYS FINANCIAL SYSTEMS, LTD.",MA-L
00E033,24,E.E.P.D. GmbH,MA-L
00E034,24,"Cisco Systems, Inc",MA-L
00E035,24,Artesyn Embedded Technologies,MA-L
00E036,24,PIONEER CORPORATION,MA-L
00E037,24,CENTURY CORPORATION,MA-L
00E038,24,PROXIMA CORPORATION,MA-L
00E039,24,PARADYNE CORP.,MA-L
00E03A,24,"Cabletron Systems, Inc.",MA-L
00E03B,24,PROMINET CORPORATION,MA-L
00E03C,24,AdvanSys,MA-L
00E03D,24,FOCON ELECTRONIC SYSTEMS A/S,MA-L
00E03E,24,"ALFATECH, INC.",MA-L
00E03F,24,JATON CORPORATION,MA-L
00E040,24,"DeskStation Technology, Inc.",MA-L
00E041,24,CSPI,MA-L
00E042,24,Pacom Systems Ltd.,MA-L
00E043,24,VitalCom,MA-L
00E044,24,LSICS CORPORATION,MA-L
00E045,24,"TOUCHWAVE, INC.",MA-L
00E046,24,BENTLY NEVADA CORP.,MA-L
00E047,24,InFocus Corporation,MA-L
00E048,24,"SDL COMMUNICATIONS, INC.",MA-L
00E049,24,MICROWI ELECTRONIC GmbH,MA-L
00E04A,24,"ZX Technologies, Inc",MA-L
00E04B,24,JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH,MA-L
00E04C,24,REALTEK SEMICONDUCTOR CORP.,MA-L
00E04D,24,"INTERNET INITIATIVE JAPAN, INC",MA-L
00E04E,24,"SANYO DENKI CO., LTD.",MA-L
00E04F,24,"Cisco Systems, Inc",MA-L
00E050,24,"EXECUTONE INFORMATION SYSTEMS, INC.",MA-L
00E051,24,TALX CORPORATION,MA-L
00E052,24,Brocade Communications Systems LLC,MA-L
00E053,24,"CELLPORT LABS, INC.",MA-L
00E054,24,"KODAI HITEC CO., LTD.",MA-L
00E055,24,INGENIERIA ELECTRONICA COMERCIAL INELCOM S.A.,MA-L
00E056,24,HOLONTECH CORPORATION,MA-L
00E057,24,"HAN MICROTELECOM. CO., LTD.",MA-L
00E058,24,PHASE ONE DENMARK A/S,MA-L
00E059,24,"CONTROLLED ENVIRONMENTS, LTD.",MA-L
00E05A,24,GALEA NETWORK SECURITY,MA-L
00E05B,24,WEST END SYSTEMS CORP.,MA-L
00E05C,24,PHC Corporation,MA-L
00E05D,24,"UNITEC CO., LTD.",MA-L
00E05E,24,"JAPAN AVIATION ELECTRONICS INDUSTRY, LTD.",MA-L
00E05F,24,"e-Net, Inc.",MA-L
00E060,24,SHERWOOD,MA-L
00E061,24,"EdgePoint Networks, Inc.",MA-L
00E062,24,HOST ENGINEERING,MA-L
00E063,24,"Cabletron Systems, Inc.",MA-L
00E064,24,SAMSUNG ELECTRONICS,MA-L
00E065,24,OPTICAL ACCESS INTERNATIONAL,MA-L
00E066,24,"ProMax Systems, Inc.",MA-L
00E067,24,eac AUTOMATION-CONSULTING GmbH,MA-L
00E068,24,MERRIMAC SYSTEMS INC.,MA-L
00E069,24,JAYCOR,MA-L
00E06A,24,KAPSCH AG,MA-L
00E06B,24,W&G SPECIAL PRODUCTS,MA-L
00E06C,24,Ultra Electronics Command & Control Systems,MA-L
00E06D,24,COMPUWARE CORPORATION,MA-L
00E06E,24,FAR SYSTEMS S.p.A.,MA-L
00E06F,24,Commscope,MA-L
00E070,24,DH TECHNOLOGY,MA-L
00E071,24,EPIS MICROCOMPUTER,MA-L
00E072,24,LYNK,MA-L
00E073,24,"NATIONAL AMUSEMENT NETWORK, INC.",MA-L
00E074,24,"TIERNAN COMMUNICATIONS, INC.",MA-L
00E075,24,Verilink Corporation,MA-L
00E076,24,"DEVELOPMENT CONCEPTS, INC.",MA-L
00E077,24,"WEBGEAR, INC.",MA-L
00E078,24,BERKELEY NETWORKS,MA-L
00E079,24,A.T.N.R.,MA-L
00E07A,24,MIKRODIDAKT AB,MA-L
00E07B,24,BAY NETWORKS,MA-L
00E07C,24,"METTLER-TOLEDO, INC.",MA-L
00E07D,24,"NETRONIX, INC.",MA-L
00E07E,24,WALT DISNEY IMAGINEERING,MA-L
00E07F,24,LOGISTISTEM s.r.l.,MA-L
00E080,24,CONTROL RESOURCES CORPORATION,MA-L
00E081,24,TYAN COMPUTER CORP.,MA-L
00E082,24,ANERMA,MA-L
00E083,24,"JATO TECHNOLOGIES, INC.",MA-L
00E084,24,COMPULITE R&D,MA-L
00E085,24,"GLOBAL MAINTECH, INC.",MA-L
00E086,24,"Emerson Network Power, Avocent Division",MA-L
00E087,24,LeCroy - Networking Productions Division,MA-L
00E088,24,LTX-Credence CORPORATION,MA-L
00E089,24,"ION Networks, Inc.",MA-L
00E08A,24,"GEC AVERY, LTD.",MA-L
00E08B,24,QLogic Corporation,MA-L
00E08C,24,"NEOPARADIGM LABS, INC.",MA-L
00E08D,24,"PRESSURE SYSTEMS, INC.",MA-L
00E08E,24,UTSTARCOM,MA-L
00E08F,24,"Cisco Systems, Inc",MA-L
00E090,24,BECKMAN LAB. AUTOMATION DIV.,MA-L
00E091,24,LG Electronics,MA-L
00E092,24,ADMTEK INCORPORATED,MA-L
00E093,24,ACKFIN NETWORKS,MA-L
00E094,24,OSAI SRL,MA-L
00E095,24,ADVANCED-VISION TECHNOLGIES CORP.,MA-L
00E096,24,SHIMADZU CORPORATION,MA-L
00E097,24,CARRIER ACCESS CORPORATION,MA-L
00E098,24,AboCom,MA-L
00E099,24,SAMSON AG,MA-L
00E09A,24,Positron Inc.,MA-L
00E09B,24,"ENGAGE NETWORKS, INC.",MA-L
00E09C,24,MII,MA-L
00E09D,24,SARNOFF CORPORATION,MA-L
00E09E,24,Quantum Corporation,MA-L
00E09F,24,PIXEL VISION,MA-L
00E0A0,24,WILTRON CO.,MA-L
00E0A1,24,HIMA PAUL HILDEBRANDT GmbH Co. KG,MA-L
00E0A2,24,MICROSLATE INC.,MA-L
00E0A3,24,"Cisco Systems, Inc",MA-L
00E0A4,24,ESAOTE S.p.A.,MA-L
00E0A5,24,"ComCore Semiconductor, Inc.",MA-L
00E0A6,24,"TELOGY NETWORKS, INC.",MA-L
00E0A7,24,"IPC INFORMATION SYSTEMS, INC.",MA-L
00E0A8,24,SAT GmbH & Co.,MA-L
00E0A9,24,"FUNAI ELECTRIC CO., LTD.",MA-L
00E0AA,24,ELECTROSONIC LTD.,MA-L
00E0AB,24,DIMAT S.A.,MA-L
00E0AC,24,"MIDSCO, INC.",MA-L
00E0AD,24,Brandywine Communications UK Ltd.,MA-L
00E0AE,24,XAQTI CORPORATION,MA-L
00E0AF,24,GENERAL DYNAMICS INFORMATION SYSTEMS,MA-L
00E0B0,24,"Cisco Systems, Inc",MA-L
00E0B1,24,Alcatel-Lucent Enterprise,MA-L
00E0B2,24,TELMAX COMMUNICATIONS CORP.,MA-L
00E0B3,24,"EtherWAN Systems, Inc.",MA-L
00E0B4,24,"TECHNO SCOPE CO., LTD.",MA-L
00E0B5,24,ARDENT COMMUNICATIONS CORP.,MA-L
00E0B6,24,Entrada Networks,MA-L
00E0B7,24,Cosworth Electronics Ltd,MA-L
00E0B8,24,GATEWAY 2000,MA-L
00E0B9,24,BYAS SYSTEMS,MA-L
00E0BA,24,BERGHOF AUTOMATIONSTECHNIK GmbH,MA-L
00E0BB,24,NBX CORPORATION,MA-L
00E0BC,24,"SYMON COMMUNICATIONS, INC.",MA-L
00E0BD,24,"INTERFACE SYSTEMS, INC.",MA-L
00E0BE,24,"GENROCO INTERNATIONAL, INC.",MA-L
00E0BF,24,TORRENT NETWORKING TECHNOLOGIES CORP.,MA-L
00E0C0,24,"SEIWA ELECTRIC MFG. CO., LTD.",MA-L
00E0C1,24,"MEMOREX TELEX JAPAN, LTD.",MA-L
00E0C2,24,NECSY S.p.A.,MA-L
00E0C3,24,SAKAI SYSTEM DEVELOPMENT CORP.,MA-L
00E0C4,24,"HORNER ELECTRIC, INC.",MA-L
00E0C5,24,BCOM ELECTRONICS INC.,MA-L
00E0C6,24,"LINK2IT, L.L.C.",MA-L
00E0C7,24,EUROTECH SRL,MA-L
00E0C8,24,"VIRTUAL ACCESS, LTD.",MA-L
00E0C9,24,AutomatedLogic Corporation,MA-L
00E0CA,24,BEST DATA PRODUCTS,MA-L
00E0CB,24,"RESON, INC.",MA-L
00E0CC,24,"HERO SYSTEMS, LTD.",MA-L
00E0CD,24,SAAB SENSIS CORPORATION,MA-L
00E0CE,24,ARN,MA-L
00E0CF,24,INTEGRATED DEVICE,MA-L
00E0D0,24,"NETSPEED, INC.",MA-L
00E0D1,24,TELSIS LIMITED,MA-L
00E0D2,24,"VERSANET COMMUNICATIONS, INC.",MA-L
00E0D3,24,DATENTECHNIK GmbH,MA-L
00E0D4,24,EXCELLENT COMPUTER,MA-L
00E0D5,24,Emulex Corporation,MA-L
00E0D6,24,COMPUTER & COMMUNICATION RESEARCH LAB.,MA-L
00E0D7,24,"SUNSHINE ELECTRONICS, INC.",MA-L
00E0D8,24,"LANBit Computer, Inc.",MA-L
00E0D9,24,"TAZMO CO., LTD.",MA-L
00E0DA,24,Alcatel-Lucent Enterprise,MA-L
00E0DB,24,"ViaVideo Communications, Inc.",MA-L
00E0DC,24,NEXWARE CORP.,MA-L
00E0DD,24,Zenith Electronics Corporation,MA-L
00E0DE,24,DATAX NV,MA-L
00E0DF,24,"Zhone Technologies, Inc.",MA-L
00E0E0,24,"SI ELECTRONICS, LTD.",MA-L
00E0E1,24,"G2 NETWORKS, INC.",MA-L
00E0E2,24,INNOVA CORP.,MA-L
00E0E3,24,SK-ELEKTRONIK GMBH,MA-L
00E0E4,24,"FANUC ROBOTICS NORTH AMERICA, Inc.",MA-L
00E0E5,24,"CINCO NETWORKS, INC.",MA-L
00E0E6,24,INCAA Computers,MA-L
00E0E7,24,"RAYTHEON E-SYSTEMS, INC.",MA-L
00E0E8,24,GRETACODER Data Systems AG,MA-L
00E0E9,24,"DATA LABS, INC.",MA-L
00E0EA,24,"INNOVAT COMMUNICATIONS, INC.",MA-L
00E0EB,24,"DIGICOM SYSTEMS, INCORPORATED",MA-L
00E0EC,24,CELESTICA INC.,MA-L
00E0ED,24,"SILICOM, LTD.",MA-L
00E0EE,24,MAREL HF,MA-L
00E0EF,24,DIONEX,MA-L
00E0F0,24,"ABLER TECHNOLOGY, INC.",MA-L
00E0F1,24,THAT CORPORATION,MA-L
00E0F2,24,"ARLOTTO COMNET, INC.",MA-L
00E0F3,24,"WebSprint Communications, Inc.",MA-L
00E0F4,24,INSIDE Technology A/S,MA-L
00E0F5,24,TELES AG,MA-L
00E0F6,24,DECISION EUROPE,MA-L
00E0F7,24,"Cisco Systems, Inc",MA-L
00E0F8,24,DICNA CONTROL AB,MA-L
00E0F9,24,"Cisco Systems, Inc",MA-L
00E0FA,24,"TRL TECHNOLOGY, LTD.",MA-L
00E0FB,24,"LEIGHTRONIX, INC.",MA-L
00E0FC,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00E0FD,24,"A-TREND TECHNOLOGY CO., LTD.",MA-L
00E0FE,24,"Cisco Systems, Inc",MA-L
00E0FF,24,"SECURITY DYNAMICS TECHNOLOGIES, Inc.",MA-L
00E12F,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00E16D,24,"Cisco Systems, Inc",MA-L
00E175,24,AK-Systems Ltd,MA-L
00E18C,24,Intel Corporate,MA-L
00E22C,24,"China Mobile Group Device Co.,Ltd.",MA-L
00E3B2,24,"Samsung Electronics Co.,Ltd",MA-L
00E400,24,Sichuan Changhong Electric Ltd.,MA-L
00E406,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00E421,24,Sony Interactive Entertainment Inc.,MA-L
00E5E4,24,"Sichuan Tianyi Comheart Telecom Co.,LTD",MA-L
00E5F1,24,BUFFALO.INC,MA-L
00E607,24,AURCORE TECHNOLOGY INC.,MA-L
00E60E,24,"Extreme Networks, Inc.",MA-L
00E63A,24,Ruckus Wireless,MA-L
00E666,24,ARIMA Communications Corp.,MA-L
00E6D3,24,NIXDORF COMPUTER CORP.,MA-L
00E6E8,24,"Netzin Technology Corporation,.Ltd.",MA-L
00E7E3,24,zte corporation,MA-L
00E8AB,24,"Meggitt Training Systems, Inc.",MA-L
00E93A,24,AzureWave Technology Inc.,MA-L
00EABD,24,"Cisco Systems, Inc",MA-L
00EB2D,24,Sony Corporation,MA-L
00EBD5,24,"Cisco Systems, Inc",MA-L
00EBD8,24,"MERCUSYS TECHNOLOGIES CO., LTD.",MA-L
00EC0A,24,Xiaomi Communications Co Ltd,MA-L
00EDB8,24,KYOCERA Corporation,MA-L
00EE01,24,Enablers Solucoes e Consultoria em Dispositivos,MA-L
00EEAB,24,"Cisco Systems, Inc",MA-L
00EEBD,24,HTC Corporation,MA-L
00F051,24,KWB Gmbh,MA-L
00F22C,24,"Shanghai B-star Technology Co.,Ltd.",MA-L
00F28B,24,"Cisco Systems, Inc",MA-L
00F361,24,Amazon Technologies Inc.,MA-L
00F39F,24,"Apple, Inc.",MA-L
00F3DB,24,WOO Sports,MA-L
00F403,24,Orbis Systems Oy,MA-L
00F46F,24,"Samsung Electronics Co.,Ltd",MA-L
00F48D,24,Liteon Technology Corporation,MA-L
00F4B9,24,"Apple, Inc.",MA-L
00F5FD,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00F620,24,"Google, Inc.",MA-L
00F663,24,"Cisco Systems, Inc",MA-L
00F76F,24,"Apple, Inc.",MA-L
00F7AD,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00F81C,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00F82C,24,"Cisco Systems, Inc",MA-L
00F860,24,PT. Panggung Electric Citrabuana,MA-L
00F871,24,Demant A/S,MA-L
00F8CC,24,Sagemcom Broadband SAS,MA-L
00F952,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
00FA21,24,"Samsung Electronics Co.,Ltd",MA-L
00FA3B,24,CLOOS ELECTRONIC GMBH,MA-L
00FAB6,24,Kontakt Micro-Location Sp z o.o.,MA-L
00FADE,24,"Motorola Mobility LLC, a Lenovo Company",MA-L
00FBF9,24,Axiado Corporation,MA-L
00FC58,24,WebSilicon Ltd.,MA-L
00FC70,24,"Intrepid Control Systems, Inc.",MA-L
00FC8B,24,Amazon Technologies Inc.,MA-L
00FC8D,24,Hitron Technologies. Inc,MA-L
00FCBA,24,"Cisco Systems, Inc",MA-L
00FD22,24,"Cisco Systems, Inc",MA-L
00FD45,24,Hewlett Packard Enterprise,MA-L
00FD4C,24,NEVATEC,MA-L
00FEC8,24,"Cisco Systems, Inc",MA-L
020701,24,RACAL-DATACOM,MA-L
021C7C,24,PERQ SYSTEMS CORPORATION,MA-L
026086,24,LOGIC REPLACEMENT TECH. LTD.,MA-L
02608C,24,3COM,MA-L
027001,24,RACAL-DATACOM,MA-L
0270B0,24,M/A-COM INC. COMPANIES,MA-L
0270B3,24,DATA RECALL LTD.,MA-L
029D8E,24,"CARDIAC RECORDERS, INC.",MA-L
02AA3C,24,OLIVETTI TELECOMM SPA (OLTECO),MA-L
02BB01,24,OCTOTHORPE CORP.,MA-L
02C08C,24,3COM,MA-L
02CF1C,24,Communication Machinery Corporation,MA-L
02E6D3,24,NIXDORF COMPUTER CORP.,MA-L
040067,24,Stanley Black & Decker,MA-L
04006E,24,"Google, Inc.",MA-L
0401A1,24,"Fortinet, Inc.",MA-L
0401BB,24,TECNO MOBILE LIMITED,MA-L
04021F,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
0402CA,24,"Shenzhen Vtsonic Co.,ltd",MA-L
040312,24,"Hangzhou Hikvision Digital Technology Co.,Ltd.",MA-L
0403D6,24,"Nintendo Co.,Ltd",MA-L
0404B8,24,"China Hualu Panasonic AVC Networks Co., LTD.",MA-L
0404EA,24,Valens Semiconductor Ltd.,MA-L
0405DD,24,"Shenzhen Cultraview Digital Technology Co., Ltd",MA-L
04072E,24,VTech Electronics Ltd.,MA-L
040973,24,Hewlett Packard Enterprise,MA-L
040986,24,Arcadyan Corporation,MA-L
0409A5,24,"HFR, Inc.",MA-L
040A83,24,Alcatel-Lucent,MA-L
040AE0,24,XMIT AG COMPUTER NETWORKS,MA-L
040CCE,24,"Apple, Inc.",MA-L
040D84,24,Silicon Laboratories,MA-L
040E3C,24,HP Inc.,MA-L
040EC2,24,ViewSonic Mobile China Limited,MA-L
040F66,24,TP-Link Systems Inc.,MA-L
04106B,24,Xiaomi Communications Co Ltd,MA-L
041119,24,IEEE Registration Authority,MA-L
04137A,24,"Apple, Inc.",MA-L
041471,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
041552,24,"Apple, Inc.",MA-L
0415D9,24,Viwone,MA-L
04174C,24,"Nanjing SCIYON Wisdom Technology Group Co.,Ltd.",MA-L
0417B6,24,Smart Innovation LLC,MA-L
04180F,24,"Samsung Electronics Co.,Ltd",MA-L
041892,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L
0418B6,24,Private,MA-L
0418D6,24,Ubiquiti Inc,MA-L
04197F,24,Grasphere Japan,MA-L
041A04,24,WaveIP,MA-L
041B6D,24,LG Electronics (Mobile Communications),MA-L
041B94,24,Host Mobility AB,MA-L
041BBA,24,"Samsung Electronics Co.,Ltd",MA-L
041C6C,24,Intel Corporate,MA-L
041CDB,24,Siba Service,MA-L
041D10,24,Dream Ware Inc.,MA-L
041DC7,24,zte corporation,MA-L
041E64,24,"Apple, Inc.",MA-L
041E7A,24,DSPWorks,MA-L
041EFA,24,"BISSELL Homecare, Inc.",MA-L
041FB8,24,"vivo Mobile Communication Co., Ltd.",MA-L
042084,24,zte corporation,MA-L
04208A,24,浙江路川科技有限公司,MA-L
04209A,24,Panasonic Corporation AVC Networks Company,MA-L
042144,24,"Sunitec Enterprise Co.,Ltd",MA-L
04214C,24,Insight Energy Ventures LLC,MA-L
042234,24,Wireless Standard Extensions,MA-L
0422E7,24,"Fiberhome Telecommunication Technologies Co.,LTD",MA-L
